iter	Passed	Remaining
0	4	468
1	8	416
2	12	411
3	15	382
4	20	381
5	24	376
6	28	380
7	33	380
8	36	373
9	41	370
10	44	359
11	47	346
12	49	333
13	51	317
14	53	304
15	55	292
16	57	279
17	58	268
18	60	257
19	62	248
20	63	238
21	64	229
22	65	220
23	67	213
24	68	205
25	69	198
26	70	191
27	71	184
28	73	178
29	74	172
30	75	167
31	76	161
32	77	156
33	78	151
34	79	146
35	80	142
36	80	137
37	81	133
38	82	129
39	83	125
40	84	121
41	84	117
42	85	113
43	86	110
44	87	106
45	88	103
46	89	100
47	89	97
48	90	94
49	91	91
50	92	88
51	93	85
52	93	83
53	94	80
54	95	77
55	95	75
56	96	73
57	97	70
58	98	68
59	99	66
60	100	63
61	100	61
62	101	59
63	102	57
64	103	55
65	104	53
66	105	51
67	105	49
68	106	47
69	107	46
70	108	44
71	109	42
72	109	40
73	110	38
74	111	37
75	112	35
76	113	33
77	113	32
78	114	30
79	115	28
80	116	27
81	116	25
82	117	24
83	118	22
84	119	21
85	120	19
86	120	18
87	121	16
88	122	15
89	123	13
90	124	12
91	124	10
92	125	9
93	126	8
94	127	6
95	128	5
96	128	3
97	129	2
98	130	1
99	131	0
